370 721
  143 162 8
  145 146 1
  145 147 1
  146 149 1
  146 168 7
  147 149 1
  147 150 1
  148 158 5
  148 224 17
  149 152 1
  149 172 7
  150 152 1
  150 179 8
  151 155 2
  151 165 5
  152 178 7
  152 183 8
  153 158 3
  153 162 4
  154 192 10
  155 156 1
  155 174 5
  156 159 1
  157 166 2
  158 163 1
  158 180 4
  159 164 1
  160 166 1
  160 214 10
  161 167 1
  161 189 6
  162 179 3
  162 180 3
  163 184 4
  164 173 2
  164 187 5
  165 174 2
  165 175 2
  166 169 1
  166 220 10
  167 170 1
  167 171 1
  168 172 1
  168 189 5
  169 175 1
  169 225 10
  170 176 1
  170 177 1
  171 177 1
  171 194 5
  172 178 1
  172 195 5
  173 198 5
  173 240 14
  174 185 2
  175 185 2
  176 182 1
  177 182 1
  177 202 5
  178 204 5
  178 223 8
  179 183 1
  179 190 3
  180 184 1
  180 190 3
  181 192 3
  182 186 1
  182 208 5
  183 196 3
  183 223 7
  184 197 3
  184 240 12
  185 188 1
  186 193 2
  186 216 5
  187 198 2
  187 199 2
  188 191 1
  188 238 10
  189 194 1
  189 195 1
  190 196 1
  190 197 1
  191 199 1
  191 241 10
  192 200 1
  193 201 1
  193 227 5
  194 202 1
  194 203 1
  195 203 1
  195 204 1
  196 205 1
  196 206 1
  197 206 1
  197 249 12
  198 213 2
  198 224 4
  199 213 2
  200 214 2
  200 215 2
  201 207 1
  201 232 6
  202 208 1
  202 209 1
  203 209 1
  203 210 1
  204 210 1
  204 239 8
  205 211 1
  205 212 1
  206 212 1
  206 254 12
  207 229 4
  207 236 6
  208 216 1
  208 217 1
  209 217 1
  209 218 1
  210 218 1
  210 242 8
  211 219 1
  211 278 19
  212 237 6
  212 258 12
  214 220 1
  214 226 2
  215 226 2
  216 221 1
  216 227 2
  217 221 1
  217 222 1
  218 222 1
  218 244 8
  219 234 4
  219 281 19
  220 225 1
  221 228 1
  221 230 2
  222 228 1
  222 247 8
  223 234 3
  223 239 5
  225 231 2
  226 231 2
  227 230 1
  228 233 2
  228 263 11
  230 232 1
  230 233 1
  231 235 1
  232 236 1
  232 262 9
  233 259 8
  234 237 1
  234 248 5
  235 243 3
  236 266 9
  237 253 5
  237 273 12
  238 241 1
  238 243 2
  239 242 1
  239 248 3
  240 249 3
  240 255 4
  241 246 2
  242 244 1
  242 252 3
  243 246 1
  244 247 1
  244 256 3
  245 279 10
  246 250 1
  247 259 3
  247 260 3
  248 252 1
  248 253 1
  249 254 1
  252 256 1
  252 257 1
  253 257 1
  253 284 12
  254 258 1
  256 260 1
  256 261 1
  257 261 1
  258 269 4
  258 273 6
  259 262 1
  259 268 3
  260 263 1
  260 264 1
  261 264 1
  262 266 1
  262 271 3
  263 267 1
  263 268 2
  264 267 1
  265 279 5
  266 275 4
  267 287 12
  268 271 1
  269 274 2
  269 283 6
  270 272 1
  270 286 10
  272 274 1
  272 288 10
  273 283 4
  273 284 5
  274 278 1
  275 276 6
  276 280 1
  277 280 1
  278 281 1
  278 291 10
  279 282 2
  280 297 12
  281 293 10
  282 285 4
  284 287 4
  285 289 3
  286 288 1
  286 289 2
  287 295 4
  288 292 2
  289 292 1
  290 306 10
  291 293 1
  291 296 2
  292 294 1
  293 298 2
  293 300 4
  294 296 1
  294 303 6
  295 299 2
  296 298 1
  298 305 6
  299 301 2
  300 306 5
  301 302 1
  301 308 10
  302 304 1
  302 309 10
  304 310 10
  308 309 1
  309 310 1
  311 313 7
  312 314 7
  316 318 7
  317 320 7
  318 319 1
  319 321 1
  320 322 1
  321 322 1
  321 323 5
  324 326 7
  325 327 7
  329 331 7
  330 332 7
  334 336 7
  335 337 7
  339 341 7
  340 342 7
  1 344 100000
  2 344 100000
  3 344 100000
  4 344 100000
  5 345 100000
  6 345 100000
  7 345 100000
  8 345 100000
  9 346 100000
  10 346 100000
  11 346 100000
  12 346 100000
  13 347 100000
  14 347 100000
  15 347 100000
  16 347 100000
  17 348 100000
  18 348 100000
  19 348 100000
  20 348 100000
  21 349 100000
  22 349 100000
  23 349 100000
  24 349 100000
  25 350 100000
  26 350 100000
  27 350 100000
  28 350 100000
  29 351 100000
  30 351 100000
  31 352 100000
  32 352 100000
  33 353 100000
  34 353 100000
  35 354 100000
  36 354 100000
  37 355 100000
  38 355 100000
  39 355 100000
  40 356 100000
  41 356 100000
  42 356 100000
  43 357 100000
  44 357 100000
  45 357 100000
  46 358 100000
  47 358 100000
  48 358 100000
  49 359 100000
  50 359 100000
  51 359 100000
  52 360 100000
  53 360 100000
  54 360 100000
  55 361 100000
  56 361 100000
  57 362 100000
  58 362 100000
  59 363 100000
  60 363 100000
  61 364 100000
  62 364 100000
  63 364 100000
  64 364 100000
  65 365 100000
  66 365 100000
  67 365 100000
  68 365 100000
  69 366 100000
  70 366 100000
  71 366 100000
  72 366 100000
  73 366 100000
  74 366 100000
  75 366 100000
  76 366 100000
  77 367 100000
  78 367 100000
  79 367 100000
  80 367 100000
  81 367 100000
  82 368 100000
  83 368 100000
  84 368 100000
  85 368 100000
  86 369 100000
  87 369 100000
  88 369 100000
  89 369 100000
  90 370 100000
  91 366 100000
  92 366 100000
  93 366 100000
  94 367 100000
  95 367 100000
  96 367 100000
  97 367 100000
  98 367 100000
  99 367 100000
  100 368 100000
  101 368 100000
  102 368 100000
  103 368 100000
  104 368 100000
  105 368 100000
  106 368 100000

27

 344
 345
 346
 347
 348
 349
 350
 351
 352
 353
 354
 355
 356
 357
 358
 359
 360
 361
 362
 363
 364
 365
 366
 367
 368
 369
 370
 
27

 344
 345
 346
 347
 348
 349
 350
 351
 352
 353
 354
 355
 356
 357
 358
 359
 360
 361
 362
 363
 364
 365
 366
 367
 368
 369
 370

