311 613
 249 252 1
 249 255 2
 250 253 1
 250 254 1
 251 254 1
 251 266 9
 252 257 2
 252 258 2
 253 255 1
 253 256 1
 254 256 1
 254 268 9
 255 258 1
 255 259 1
 256 259 1
 256 269 9
 257 260 1
 257 261 2
 258 261 2
 260 262 2
 262 263 1
 264 265 1
 264 271 6
 265 266 1
 265 272 6
 266 268 1
 266 274 6
 268 269 1
 268 276 6
 269 277 6
 270 273 2
 271 272 1
 271 280 6
 272 274 1
 272 281 6
 273 275 1
 274 276 1
 274 282 6
 275 278 2
 276 277 1
 276 286 11
 277 279 1
 277 293 21
 280 281 1
 280 283 5
 281 282 1
 281 284 5
 282 285 5
 283 284 1
 283 287 6
 284 285 1
 284 288 6
 285 286 1
 285 289 6
 287 288 1
 287 290 4
 288 289 1
 290 291 2
 291 292 1
 292 294 1
 292 296 7
 294 295 1
 294 297 7
 295 298 7
 296 297 1
 297 298 1
 1 299 100000
 2 299 100000
 3 299 100000
 4 299 100000
 5 300 100000
 6 300 100000
 7 301 100000
 8 301 100000
 9 301 100000
 10 301 100000
 11 302 100000
 12 302 100000
 13 302 100000
 14 302 100000
 15 302 100000
 16 303 100000
 17 303 100000
 18 303 100000
 19 303 100000
 20 303 100000
 21 304 100000
 22 304 100000
 23 304 100000
 24 304 100000
 25 305 100000
 26 305 100000
 27 306 100000
 28 306 100000
 29 306 100000
 30 306 100000
 31 306 100000
 32 306 100000
 33 307 100000
 34 307 100000
 35 307 100000
 36 307 100000
 37 307 100000
 38 307 100000
 39 308 100000
 40 308 100000
 41 308 100000
 42 308 100000
 43 308 100000
 44 309 100000
 45 309 100000
 46 309 100000
 47 309 100000
 48 309 100000
 49 310 100000
 50 310 100000
 51 310 100000
 52 310 100000
 53 311 100000
 54 299 100000
 55 302 100000
 56 302 100000
 57 304 100000
 58 304 100000
 59 304 100000
 60 304 100000
 61 306 100000
 62 306 100000
 63 308 100000
 64 308 100000


13

  299
  300
  301
  302
  303
  304
  305
  306
  307
  308
  309
  310
  311
  
13

  299
  300
  301
  302
  303
  304
  305
  306
  307
  308
  309
  310
  311
